Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列),欢迎词字数,sentiment,positive_prob,医生临床职称,医生教学科研职称
2812,副主任医师 ,心脏内科中心,北京,1,295,"15,848",4,15,3,0,0,无,84899,0,0,0.0315851,副主任医师,无
2813,副主任医师 ,中医肿瘤科,北京,1,365,"85,342",4,52,1,0,0,为您服务！北京中医药大学东方医院是卫生部国家中医药管理局直属单位，全国三级甲等中医医院、全国示范中医医院，是北京市医疗保险定点医院。东方医院肿瘤科结合中医理论针对肿瘤患者，提出了肿瘤的“绿色治疗”新理念，即对肿瘤患者采用创伤小、恢复快、易接受、风险小...的综合治疗方法。“绿色治疗”主要应用中医理论结合现代先进技术手段，如氩氦刀局部冷冻、深部热疗、激光光动力、中药栓塞等等，多以物理的方式对肿瘤局部起作用，达到局部快速杀灭肿瘤的目的。并结合一些特色中医疗法如针,84931,231,2,0.997923,副主任医师,无
2814,副主任医师 教授 ,口腔修复科,长春,1,200,"10,666",0,0,3,0,0,无,84934,0,0,0.0315851,副主任医师,教授
2815,主任医师 副教授 ,泌尿外科,新乡,1,0,"11,162",0,0,2,0,1,无,84962,0,0,0.0315851,主任医师,副教授
2816,副主任医师 教授 ,肾病内科,北京,1,1460,"243,684",9,213,4,1,2,欢迎各位病友咨询提问对于身处外地，不便来京面谈或复诊，请将检查化验结果发在此处。,84968,40,0,0.295193,副主任医师,教授
2817,副主任医师 ,妇产科,晋中,1,0,"4,013",0,0,1,0,0,无,84977,0,0,0.0315851,副主任医师,无
2818,主任医师 教授 ,烧伤科,天津,1,95,"10,541",0,14,1,0,0,无,84991,0,0,0.0315851,主任医师,教授
2819,副主任医师 ,整形外科,杭州,1,1550,"253,780",17,187,3,0,0,唇、腭裂免费治疗如果你周围有患唇、腭裂的患者、如果他（她）还在为治疗费用而发愁、就请你告诉他（她）：在这里可以得到免费治疗。若需要治疗或需要咨询，请联系我。欢迎有空来聊聊！电话0571-85614858,84997,101,2,0.989552,副主任医师,无
2820,副主任医师 副教授 ,关节专业中心,济南,1,220,"14,876",0,4,3,1,2,无,85005,0,0,0.0315851,副主任医师,副教授
2821,副主任医师 ,中医科,太原,1,0,"5,983",0,0,0,0,0,无,85058,0,0,0.0315851,副主任医师,无
2822,主治医师 ,康复医学科,济南,0,0,"1,697",0,0,0,0,0,无,85061,0,0,0.0315851,主治医师,无
2823,住院医师 ,皮肤性病科,六安,1,330,"21,561",1,10,0,0,3,欢迎各位患者最近正在写一些常见皮肤病的健康小常识，希望对广大患者有帮助。,85159,36,2,0.93574,住院医师,无
2824,主治医师 讲师 ,老年病科,西安,1,0,781,0,0,0,0,0,耐心细致服务患者人命至重，贵于千金，一方济之，德逾于此！,85215,28,1,0.505935,主治医师,讲师
2825,副主任医师 讲师 ,外科,无锡,0,10,"11,110",0,2,3,1,0,无,85279,0,0,0.0315851,副主任医师,讲师
2826,主治医师 ,小儿外科,青岛,1,1910,"89,399",7,98,0,0,3,无,85332,0,0,0.0315851,主治医师,无
2827,副主任医师 ,神经外科,嘉兴,1,220,"82,079",11,16,3,0,0,我的祝愿衷心感谢好大夫网站给我提供这个平台展示自我，提高自我，使我有更多的机会为社会广大病友提供医疗服务，使我的生活更充实、有意义。衷心祝愿广大病友能够早日康复！衷心感谢广大社会各界网友的支持、厚爱、理解、关注！诚挚接受广大同行支持、关心、帮助、指...导！我将一如既往，再接再厉，努力提高业务水平，全心全意为人民服务！展开>>收起<<,85346,168,2,0.999867,副主任医师,无
2828,副主任医师 ,肛肠外科,嘉兴,1,5375,"545,098",3,538,13,6,5,嘉兴二院肛肠外科嘉兴二院肛肠外科（痔科）建立于1981年，现有专科医师5名，护士1名。张九皋副主任医师，长期从事肛肠外科的临床工作，积累了丰富的肛肠科医疗经验，尤其擅长于肠镜下各种手术和肠道内窥镜检查，在市内外各家和同行中有较高的知名度。该科配备有进口电子...肠镜、痔黏膜圈套器、电子痔疮治疗仪、高频电凝电切发生器等诊疗设备。开展了痔上粘膜切除新技术（PPH术）和选择性痔上黏膜切吻术（TST），为广大患有混合痔的患者带来了福音；开展无痛肠镜检查及电子肠镜下的,85351,231,2,0.982435,副主任医师,无
2829,副主任医师 副教授 ,神经内科,北京,1,740,"58,404",14,31,3,0,1,无,85384,0,0,0.0315851,副主任医师,副教授
2830,主治医师 ,儿科,潍坊,1,10,"79,777",5,31,2,0,1,选择我，选择放心！O(∩_∩)O真诚为患者服务！得到大家认可，是我最大的心愿！,85421,39,2,0.999394,主治医师,无
2831,副主任医师 ,内科,三门峡,1,220,"25,558",2,3,0,0,0,"欢迎大家光临大家好!我是一名血液内科医师,非常愿意和大家一起学习探讨血液病相关知识,希望能为您提供帮助,祝大家身体健康,万事如意!",85443,65,2,0.999709,副主任医师,无
2832,副主任医师 副教授 ,神经内科,石家庄,1,345,"21,785",0,10,0,0,1,无,85449,0,0,0.0315851,副主任医师,副教授
2833,住院医师 ,针灸科,桂林,1,15,"8,765",4,1,1,1,0,您好，欢迎您访问本站坚持纯中医理念，旨为让患者获得更好的生活质量,85497,32,2,0.996118,住院医师,无
2834,主治医师 副研究员 ,泌尿外科,广州,1,0,"25,018",1,0,4,1,0,无,85523,0,0,0.0315851,主治医师,副研究员
2835,副主任医师 副教授 ,头颈外科,上海,0,9290,"430,346",16,901,78,43,38,无,85576,0,0,0.0315851,副主任医师,副教授
2836,副主任医师 副教授 ,化疗科,包头,1,0,204,0,0,0,0,0,无,85590,0,0,0.0315851,副主任医师,副教授
2837,副主任医师 副教授 ,中医科,广州,1,0,769,0,0,0,0,0,无,85607,0,0,0.0315851,副主任医师,副教授
2838,副主任医师 ,肿瘤外科,上海,1,0,188,0,0,3,1,0,无,85626,0,0,0.0315851,副主任医师,无
2839,主治医师 讲师 ,创伤骨科,上海,1,200,"10,389",0,0,2,0,0,无,85668,0,0,0.0315851,主治医师,讲师
2840,副主任医师 ,呼吸内科,上海,1,200,"9,599",0,0,1,0,0,无,85681,0,0,0.0315851,副主任医师,无
2841,住院医师 ,病理科,上海,0,0,711,0,0,0,0,0,无,85725,0,0,0.0315851,住院医师,无
2842,副主任医师 副教授 ,口腔颌面外科,济南,1,40,"5,651",0,7,1,0,0,我的幸福让每位患者满意，就是我最大的幸福。,85854,21,2,0.99519,副主任医师,副教授
2843,副主任医师 副教授 ,肾内科,重庆,1,0,"9,703",0,0,8,1,0,无,85877,0,0,0.0315851,副主任医师,副教授
2844,副主任医师 ,普外科,衡阳,1,200,"6,972",0,0,10,1,0,无,85900,0,0,0.0315851,副主任医师,无
2845,主任医师 教授 ,肾内科,南京,1,8545,"956,378",171,620,8,2,32,医者父母心人之所病，病疾多；医之所病，病道少。天下没有治不好的病，只有治不好病的大夫!天佑中华有中医。中医有五千年的传承，有五千年的理论，有五千年的方法，有五千年的效验，有五千年的传奇，有五千年的智慧，是中华民族对世界的两大贡献之一，为国粹之首。进则济世，退则救民，不为良相，必...做良医！良医功同良相。医乃仁术，但愿天下无疾苦，何愁架上药生尘，是吾愿矣！展开>>,85960,183,2,0.980788,主任医师,教授
2846,主治医师 讲师 ,针灸科,郑州,1,200,"5,059",0,0,0,0,1,无,85966,0,0,0.0315851,主治医师,讲师
2847,住院医师 ,中医内科,常州,0,10,353,0,2,0,0,0,无,85992,0,0,0.0315851,住院医师,无
2848,主任医师 教授 ,手外科,石家庄,1,35,"14,039",0,6,6,0,1,无,86011,0,0,0.0315851,主任医师,教授
2849,住院医师 ,普通内科,郑州,0,0,"49,166",3,7,0,0,1,你好，希望我能帮到你希望我能帮到你,86053,17,2,0.94822,住院医师,无
2850,副主任医师 ,神经内科,丹东,1,200,"7,346",0,0,1,0,1,无,86105,0,0,0.0315851,副主任医师,无
2851,主治医师 讲师 ,神经内科,荆州,1,15,"1,224",13,2,0,0,0,赠人玫瑰，手留余香希望我提供的信息和咨询能对您和您的家人的健康有所帮助。,86116,36,2,0.921459,主治医师,讲师
2852,主治医师 ,普通外科,石家庄,1,0,"5,727",0,0,0,0,1,大家好，欢迎您来我科就诊！能解决您的疾苦，我将尽最大的努力！,86166,30,2,0.994571,主治医师,无
2853,主治医师 ,肝胆胰外科,郑州,1,0,344,0,0,1,0,0,无,86167,0,0,0.0315851,主治医师,无
2854,主任医师 教授 ,妇产科,广州,1,650,"808,417",13,533,11,4,1,患者朋友您好：欢迎你的咨询！为了我们能全面的了解你的病情，在你咨询时需要提供以下信息①年龄②月经和生育情况③你现在的主要症状，持续时间，若已经在医院检查和治疗，检查的...主要结果是什么，做了哪些治疗，治疗后的情况展开>>收起<<,86219,115,2,0.667893,主任医师,教授
2855,主任医师 副教授 ,创伤骨科,徐州,1,0,"7,799",0,1,2,0,0,无,86227,0,0,0.0315851,主任医师,副教授
2856,副主任医师 ,血液病科,菏泽,0,1150,"90,384",2,192,2,0,0,科室宗旨为每位患者提供最佳的医疗服务,86231,18,2,0.987577,副主任医师,无
2857,主任医师 教授 ,消化内科,郑州,1,1500,"64,242",11,264,5,1,0,无,86283,0,0,0.0315851,主任医师,教授
2858,主治医师 ,神经内科,泰州,1,0,814,0,0,0,0,0,无,86293,0,0,0.0315851,主治医师,无
2859,主治医师 讲师 ,内分泌科,包头,1,0,"6,649",0,0,0,0,1,无,86299,0,0,0.0315851,主治医师,讲师
2860,主治医师 ,肛肠科,龙岩,1,200,"7,838",0,0,0,0,0,无,86366,0,0,0.0315851,主治医师,无
2861,主治医师 ,神经外科,郑州,1,70,"11,494",16,10,2,0,0,科学需要理性，不需要动情；而医学既需要理性，又需要动情。因为，医生面对的是活生生的人，而人都是有感情的。所以，医学不是一门纯科学，而是人类情感的表达和爱的延伸。,86454,80,2,0.995331,主治医师,无
2862,主任医师 教授 ,麻醉科,南京,1,0,"5,897",0,0,1,0,1,无,86503,0,0,0.0315851,主任医师,教授
2863,住院医师 ,肿瘤科,广州,0,0,"8,477",0,0,0,0,1,竭诚为病友服务目前，恶性肿瘤的治疗包括手术、放疗、化疗、靶向治疗以及姑息支持治疗，作为一位肿瘤内科医生，希望可以在肿瘤的诊断、治疗上给大家提供一些参考。,86513,76,2,0.985765,住院医师,无
2864,副主任医师 ,口腔科,北京,1,0,"9,560",0,0,6,0,1,无,86523,0,0,0.0315851,副主任医师,无
2865,副主任医师 ,口腔颌面外科,广州,1,424,"60,596",0,23,6,3,0,健康口腔！快乐生活！祝大家拥有健康快乐的生活！,86526,23,2,0.999893,副主任医师,无
2866,住院医师 ,微创介入科,济宁,0,0,"19,693",1,3,0,0,0,无,86564,0,0,0.0315851,住院医师,无
2867,住院医师 ,神经内科,广州,1,830,"115,198",0,41,1,0,1,感谢您光临小站祝各位病友早日康复,86587,16,2,0.902066,住院医师,无
2868,主任医师 副教授 ,口腔医学中心,深圳,1,0,"21,626",0,1,3,1,0,无,86664,0,0,0.0315851,主任医师,副教授
2869,副主任医师 ,康复科,成都,1,75,"12,774",2,14,1,0,0,坐诊科室:四川省人民医院城东病区康复科、中医骨伤科城东病区:市东三环成渝立交桥旁。,86687,41,2,0.864781,副主任医师,无
2870,住院医师 ,微创、综合外科,长春,0,0,956,0,0,0,0,0,无,86717,0,0,0.0315851,住院医师,无
2871,主任医师 教授 ,妇产科,石家庄,1,80,"1,587",0,13,3,0,0,医者仁心愿成为您最信赖的医者。,86729,15,2,0.993352,主任医师,教授
2872,副主任医师 副教授 ,核医学科,昆明,1,200,"6,934",0,0,0,0,0,仁于心、勤于业、精于术坚持医者仁心，专注甲状腺癌、甲亢、骨转移癌的放射性核素治疗及其综合治疗，尽量为患者提供最好的服务。,86783,60,2,0.990381,副主任医师,副教授
2873,副主任医师 副教授 ,骨伤科,长沙,1,155,"5,136",0,19,1,0,0,以医会友本网页开通不久，相关板块内容正在努力完善，各位患者朋友如有咨询，请留言，本人一定认真回复。,86821,49,2,0.781186,副主任医师,副教授
2874,副主任医师 ,病理科,上海,1,0,"9,409",1,0,1,0,0,无,86835,0,0,0.0315851,副主任医师,无
2875,副主任医师 ,泌尿外科,榆林,1,0,"8,387",0,0,2,0,0,无,86910,0,0,0.0315851,副主任医师,无
2876,副主任医师 副教授 ,眼科,淄博,1,35,"4,783",2,10,1,0,0,无,86931,0,0,0.0315851,副主任医师,副教授
2877,主治医师 ,内外科,惠州,1,450,"146,204",1,54,2,0,0,尽心尽力为您解除牙病困扰，实现牙齿的功能与美观是我们最大的幸福,86937,31,2,0.999981,主治医师,无
2878,主治医师 讲师 ,放射介入科,郑州,1,405,"49,411",7,39,2,0,1,欢迎咨询欢迎咨询有关介入诊断和治疗方面的问题。愿我的努力给你带来健康和快乐！,86946,38,2,0.999085,主治医师,讲师
2879,副主任医师 ,呼吸科,潍坊,1,0,"11,823",0,0,1,0,0,无,86954,0,0,0.0315851,副主任医师,无
2880,主任医师 教授 ,口腔科,广州,1,2960,"276,678",0,330,11,4,9,无,86993,0,0,0.0315851,主任医师,教授
2881,主治医师 讲师 ,精神科,石家庄,1,0,848,0,0,0,0,0,无,87001,0,0,0.0315851,主治医师,讲师
2882,主治医师 ,精神科,新乡,0,45,"8,410",1,7,0,0,0,无,87042,0,0,0.0315851,主治医师,无
2883,主治医师 ,烧伤科,南平,1,0,"9,691",0,0,3,2,0,无,87093,0,0,0.0315851,主治医师,无
2884,住院医师 ,眼科,北京,1,0,"31,881",0,9,8,1,0,无,87124,0,0,0.0315851,住院医师,无
2885,副主任医师 ,重症医学科,北京,1,0,"8,621",0,0,0,0,0,神经外科重症监护主要从事神经外科术后的重症监护。,87149,24,2,0.667858,副主任医师,无
2886,主治医师 ,普外科,梧州,1,230,"9,193",0,2,1,0,1,无,87164,0,0,0.0315851,主治医师,无
2887,副主任医师 ,心血管外科,广州,1,15,"3,316",0,2,2,0,0,无,87173,0,0,0.0315851,副主任医师,无
2888,主任医师 教授 ,眼耳鼻喉科,常德,1,0,"17,008",0,1,7,0,0,无,87246,0,0,0.0315851,主任医师,教授
2889,主任医师 ,心理咨询科,无锡,1,5057,"221,492",5,378,1,0,0,在精神疾病的康复路途上，让我们一起结伴同行，走出人...让我们共同为精神疾病患者康复创造良好的条件。,87275,50,2,0.961519,主任医师,无
2890,主任医师 教授 ,风湿免疫科,济南,1,755,"43,397",0,49,2,0,0,无,87283,0,0,0.0315851,主任医师,教授
2891,主任医师 ,中医外科,北京,1,0,"13,447",0,2,2,0,1,无,87286,0,0,0.0315851,主任医师,无
2892,主治医师 ,按摩科,北京,1,221,"16,604",2,1,2,0,0,无,87295,0,0,0.0315851,主治医师,无
2893,主治医师 ,消化内科,北京,1,5,"1,425",0,1,0,0,0,无,87343,0,0,0.0315851,主治医师,无
2894,副主任医师 ,周围血管病科,哈尔滨,1,5,"1,114",0,2,4,1,1,无,87360,0,0,0.0315851,副主任医师,无
2895,主任医师 教授 ,妇科,太原,1,1615,"287,651",5,211,11,2,3,无,87385,0,0,0.0315851,主任医师,教授
2896,副主任医师 ,风湿免疫科,北京,0,0,"25,011",1,3,3,0,0,无,87390,0,0,0.0315851,副主任医师,无
2897,主治医师 ,外科,武汉,0,241,"15,811",2,4,4,1,0,无,87531,0,0,0.0315851,主治医师,无
2898,副主任医师 ,骨外科,桂林,1,1381,"63,682",2,142,2,0,2,热烈欢迎祝您健康,87577,8,2,0.962403,副主任医师,无
2899,主任医师 教授 ,胃肠外科,济宁,1,954,"114,245",22,65,10,6,7,博学济世盛德日新你所需要的，就是我所关注的,87689,21,2,0.992233,主任医师,教授
2900,副主任医师 副教授 ,心内科,上海,1,490,"67,065",5,89,19,3,1,无,87712,0,0,0.0315851,副主任医师,副教授
2901,主任医师 教授 ,脑病科,济南,1,15,462,0,3,0,0,0,欢迎光临彭伟个人网站！为了医疗安全，只进行简单咨询、提出建议，谢绝网上分析病情与处方要求。如有类似要求，恕不回复。请谅解！,87772,61,0,0.390798,主任医师,教授
2902,主治医师 教授 ,急诊科,北京,0,200,"19,839",3,1,2,0,1,无,87864,0,0,0.0315851,主治医师,教授
2903,主任医师 ,烧伤整形科,邯郸,1,535,"14,199",18,62,4,2,0,感谢来访开通好大夫网站非常高兴，愿为大家提供力所能及的在烧伤、瘢痕、整形及慢性创面等方面帮助。,87868,47,2,0.996283,主任医师,无
2904,住院医师 ,重症监护室,盐城,0,0,"1,293",0,0,0,0,0,无,87881,0,0,0.0315851,住院医师,无
2905,副主任医师 ,风湿免疫科,徐州,1,659,"56,329",14,23,1,0,0,无,87886,0,0,0.0315851,副主任医师,无
2906,主任医师 ,妇科,兰州,1,0,"71,588",0,11,9,1,0,无,87943,0,0,0.0315851,主任医师,无
2907,副主任医师 副教授 ,正畸科,西安,1,11571,"623,369",13,610,35,21,100,欢迎咨询顾医生网站“医者父母心”这是我在临床上对待患者的核心价值观。由于患者太多，服务如不到位，敬请谅解。办公电话：029-84776137（请在门诊时间拨打）,87956,80,1,0.532954,副主任医师,副教授
2908,主治医师 ,骨伤科,上饶,0,0,201,0,0,0,0,0,无,88014,0,0,0.0315851,主治医师,无
2909,副主任医师 副教授 ,妇科,深圳,1,175,"7,195",1,23,15,2,0,无,88024,0,0,0.0315851,副主任医师,副教授
2910,主任医师 教授 ,神经内科,沈阳,1,2680,"95,113",0,361,2,0,0,用我的努力，换取您的健康。,88104,13,2,0.957153,主任医师,教授
2911,副主任医师 副教授 ,消化内科,上海,1,5,"6,825",0,1,13,2,0,无,88112,0,0,0.0315851,副主任医师,副教授
2912,主治医师 ,综合科,杭州,1,0,"8,485",0,1,1,0,1,无,88186,0,0,0.0315851,主治医师,无
2913,副主任医师 ,外科,长春,1,45,"2,428",0,9,1,0,0,无,88202,0,0,0.0315851,副主任医师,无
2914,主任医师 教授 ,消化内科,广州,1,0,"37,037",0,5,28,4,0,无,88229,0,0,0.0315851,主任医师,教授
2915,住院医师 ,肝胆脾外科,沈阳,1,0,"13,014",0,0,0,0,1,无,88279,0,0,0.0315851,住院医师,无
2916,主治医师 ,神经内科,北京,0,0,"20,007",0,0,0,0,0,无,88307,0,0,0.0315851,主治医师,无
2917,副主任医师 ,皮肤科,南京,1,230,"11,359",0,4,2,0,0,无,88324,0,0,0.0315851,副主任医师,无
2918,主治医师 ,骨科,上海,1,200,"10,326",0,0,0,0,0,无,88347,0,0,0.0315851,主治医师,无
2919,副主任医师 ,妇产科,忻州,1,2946,"197,736",7,168,1,0,4,医者仁心医者仁心医者仁术可关注新浪微博“云淡风轻12399”理解医生，手下留情。,88368,40,0,0.422482,副主任医师,无
2920,主治医师 ,肾内科,芜湖,1,95,"16,684",0,8,6,0,0,中西医结合治疗肾脏病目前中西医结合治疗肾脏病是比较理想的方法。帮助每一位肾脏病患者延缓慢性肾脏病的发展是我们肾脏科医生的义务。,88393,63,2,0.951225,主治医师,无
2921,副主任医师 副教授 ,物理医学康复科,北京,1,260,"32,749",0,19,1,0,3,无,88412,0,0,0.0315851,副主任医师,副教授
2922,主任医师 教授 ,普通外科,潍坊,1,1278,"84,372",19,94,3,1,7,潍坊市中医院普外科以一流的技术、贴心的服务真诚为您...http://www.wfszyy.com/zhreview.asp?id=266,88491,69,2,0.995845,主任医师,教授
2923,主治医师 ,介入科,广州,0,0,867,0,0,0,0,0,无,88504,0,0,0.0315851,主治医师,无
2924,副主任医师 副教授 ,牙体牙髓科,西安,1,0,"1,710",0,0,0,0,0,无,88532,0,0,0.0315851,副主任医师,副教授
2925,副主任医师 ,微创外科,上海,0,2300,"104,325",0,195,21,12,6,无,88534,0,0,0.0315851,副主任医师,无
2926,副主任医师 ,儿童普外科,成都,1,1545,"69,347",1,73,2,0,3,为了你的健康，我愿竭尽所能！各位小朋友：我是胡显良博士，专长为儿童肿瘤的诊治，愿意为所有实体性肿瘤患儿服务。欢迎网上咨询！,88583,61,2,0.977429,副主任医师,无
2927,副主任医师 ,儿科,北京,1,0,"12,917",0,0,1,0,1,无,88606,0,0,0.0315851,副主任医师,无
2928,副主任医师 副教授 ,泌尿外科,成都,1,1405,"148,921",19,219,4,0,1,欢迎您的咨询！感谢您对我的信任！祝您身体健康!祝您生...网站咨询只能给出原则，而无法具体指导，望广大患者理解和谅解。所以，咨询不能解决全部问题，一切还是以当面讨论比较客观和可靠。关注新浪微博@成都三六三医院泌尿外科男科朱蜀侠医生,88632,115,2,0.853137,副主任医师,副教授
2929,副主任医师 副教授 ,妇产科,济南,1,4791,"330,660",6,218,2,0,28,用微创手术造福妇女患者。微创是指以最小的创伤、最佳的治疗手段达到治愈疾病的目的。随着科学技术和医疗水平的提高，医疗已不仅仅局限于治愈疾病，如何减少治疗时的并发症，如何使妇科手术真正做到只切除病灶而不损伤正常组织，如何从根本上预防疾病的发生，已成为当今医疗质量的更...高追求。西方发达国家在这方面起到了领头羊作用。我曾经在世界最大的医院美国MDAnderson肿瘤医院专门学习微创医疗技术，那里已经有85%以上的病人在选择微创手术治疗疾病了。目前妇科微创技术,88684,229,2,0.984035,副主任医师,副教授
2930,主治医师 ,化疗科,福州,1,0,362,0,0,0,0,0,无,88685,0,0,0.0315851,主治医师,无
2931,副主任医师 副教授 ,普通外科,武汉,1,175,"30,601",0,30,7,2,0,无,88701,0,0,0.0315851,副主任医师,副教授
2932,主任医师 教授 ,普外科,大连,1,485,"72,563",0,49,19,4,3,大连医大二院外科罗福文　愿意为您提供优质服务！爱惜身体，有病早看！　欢迎您咨询，　随时为您服务！　祝您健康！大连医科大学附属二院普外科周二上午专家门诊0411-84671291-3071（病房）,88705,97,2,0.984485,主任医师,教授
2933,主治医师 ,骨科,兰州,0,0,"1,627",0,0,0,0,0,无,88713,0,0,0.0315851,主治医师,无
2934,主治医师 ,小儿科,成都,0,0,600,0,0,0,0,0,无,88717,0,0,0.0315851,主治医师,无
2935,主治医师 ,放射科,鹤岗,0,200,"6,597",0,0,0,0,0,无,88750,0,0,0.0315851,主治医师,无
2936,住院医师 ,妇产科,上海,1,0,"7,255",0,0,1,1,0,欢迎提问欢迎就妇产科常见病的诊治提问,88770,18,2,0.900594,住院医师,无
2937,主治医师 ,风湿免疫科,厦门,1,45,"2,739",0,6,3,0,0,无,88798,0,0,0.0315851,主治医师,无
2938,住院医师 ,心外科,广州,1,0,"10,058",0,0,1,1,1,用心呵护心健康！用心做好每件事，服务每一位患者。,88991,24,2,0.986486,住院医师,无
2939,主治医师 ,神经内科,宝鸡,0,145,"9,210",2,9,0,0,1,无,88994,0,0,0.0315851,主治医师,无
2940,副主任医师 ,中医科,苏州,1,0,602,0,0,0,0,0,无,89018,0,0,0.0315851,副主任医师,无
2941,主任医师 ,整形美容科,北京,1,2050,"389,475",72,183,14,7,2,欢迎访问整形外科医生李辉的网站作为一名整形美容外科医生，我愿意用自己的专业知识为广大爱美的朋友提供帮助，我和我的同事愿意以真诚的态度、高超的技术、合理的价格为您提供满意的服务。一次面对面的交流，希望我们成为好朋友！,89043,107,2,0.999873,主任医师,无
2942,主治医师 讲师 ,普外科,上海,1,15,504,2,4,0,0,0,普外科疾病的手术治疗，肥胖与糖尿病的微创手术治疗胰腺肝胆外科疾病，肥胖与糖尿病的微创手术治疗，消化道肿瘤，甲状腺肿瘤的手术治疗,89046,63,2,0.989488,主治医师,讲师
2943,主治医师 ,妇科,徐州,1,10,"11,361",1,2,2,0,0,无,89058,0,0,0.0315851,主治医师,无
2944,住院医师 ,传染科,兰州,1,1741,"129,188",36,59,0,0,6,欢迎到胡永成医生个人网站刚刚开通个人网站，欢迎大家到来！,89092,28,2,0.997346,住院医师,无
2945,主任医师 ,耳鼻喉科,济南,1,0,"13,870",0,0,2,0,1,无,89097,0,0,0.0315851,主任医师,无
2946,主任医师 副教授 ,胃肠肛门外科,广州,1,250,"20,612",4,6,4,0,1,爱和能力耶稣医治的神迹充分显示了上帝的爱和能力。今天，耶稣仍然触摸生命，医治和释放那些以信心来到他面前的人。吴小剑副教授联系方式：中山大学附属第六医院（广东省胃肠肛门医院）结直肠肛门外科一区医院地址：广州市天河区员村二横路26号,89108,114,2,0.985357,主任医师,副教授
2947,副主任医师 ,耳鼻咽喉科,武汉,0,200,"6,829",0,1,0,0,1,无,89125,0,0,0.0315851,副主任医师,无
2948,主治医师 ,骨科,长沙,0,0,"2,966",0,0,1,0,1,无,89132,0,0,0.0315851,主治医师,无
2949,主任医师 教授 ,临床营养科,上海,1,140,"2,997",0,13,1,0,0,无,89167,0,0,0.0315851,主任医师,教授
2950,住院医师 ,创伤骨科,沈阳,0,0,"1,039",0,1,0,0,0,无,89173,0,0,0.0315851,住院医师,无
2951,住院医师 ,骨伤科,沈阳,1,30,"14,345",3,5,0,0,0,让我们携手，一起战胜病痛承岐黄仲景之术，研五行针道之妙；展中西医学之技，解疾患病痛之苦。,89202,44,2,0.991715,住院医师,无
2952,主治医师 讲师 ,推拿科,郑州,1,515,"38,219",1,24,1,0,0,；龙年吉祥看病不难本人从事针灸推拿专业多年，积累了丰富的理论和实践经验，对于治疗颈肩腰腿痛有独特的治疗和认识，对于失眠和中风后遗症，有独到的见解和认识，我能为广大患者服务，治疗疾病我感到很荣幸。,89265,97,2,0.997031,主治医师,讲师
2953,主治医师 ,感染科,上海,1,0,"1,209",0,0,0,0,0,无,89271,0,0,0.0315851,主治医师,无
2954,副主任医师 ,肾内科,上海,1,18017,"1,523,855",9,1187,6,3,42,沟通与信任作为一名医生，看病无数，也深知患者的病痛与心急。大家一定要放宽心态，乐观积极地配合医生的治疗。为了能更多的帮助患者，门诊之余我会在好大夫在线网站上解决一些患者的问题，时间有限可能不能及时回复，大家可以通过电话咨询联系到我，尽力当天通话。开通...网站、信息交流、电话咨询、发表文章...就是要使更多的患者通过这个平台为自己和家人的健康获得更多有用的信息，同时获得希望、信心、勇气、力量，去战胜疾病，争取早日康复！,89306,211,2,0.999489,副主任医师,无
2955,主治医师 ,妇产科,渭南,0,0,964,0,0,0,0,0,无,89331,0,0,0.0315851,主治医师,无
2956,住院医师 ,口腔科,重庆,1,215,"9,770",0,1,0,0,0,无,89331,0,0,0.0315851,住院医师,无
2957,主任医师 教授 ,放射科,汕头,1,200,"7,034",0,0,0,0,0,无,89383,0,0,0.0315851,主任医师,教授
2958,主治医师 讲师 ,内分泌科,上海,1,5,970,0,1,0,0,0,无,89396,0,0,0.0315851,主治医师,讲师
2959,主任医师 教授 ,神经内科,长春,1,0,"19,769",0,1,6,0,1,无,89580,0,0,0.0315851,主任医师,教授
2960,副主任医师 ,耳鼻咽喉科,上海,1,320,"116,301",6,110,9,2,1,无,89619,0,0,0.0315851,副主任医师,无
2961,主任医师 教授 ,新生儿科,广州,1,375,"114,435",5,24,1,0,3,我是艺术家作为一个儿科医生，当然也是一个“艺术家”，我很想为你分忧，聆听你的倾述，给你专业的指导意见，欢迎你！,89702,55,2,0.999656,主任医师,教授
2962,主治医师 ,耳鼻喉科,上海,1,230,"8,791",0,4,2,0,1,无,89717,0,0,0.0315851,主治医师,无
2963,主治医师 ,中医科,保定,0,0,626,0,0,0,0,0,无,89729,0,0,0.0315851,主治医师,无
2964,主任医师 教授 ,糖尿病强化治疗中心(内分泌专科),佛山,1,0,520,3,0,0,0,0,无,89743,0,0,0.0315851,主任医师,教授
2965,主治医师 ,妇产科,保定,0,0,"49,584",0,5,0,0,0,无,89743,0,0,0.0315851,主治医师,无
2966,副主任医师 副教授 ,肛肠科,茂名,1,6041,"562,156",22,455,6,1,7,健康是金，健康是幸福生活的基础。欢迎咨询,89795,20,2,0.999798,副主任医师,副教授
2967,副主任医师 副教授 ,呼吸科,白银,1,240,"78,958",7,18,1,0,0,无,89850,0,0,0.0315851,副主任医师,副教授
2968,副主任医师 ,泌外科,上饶,1,200,"7,658",1,0,2,1,0,无,89863,0,0,0.0315851,副主任医师,无
